aws
aws,acm
aws,acm,add-tags-to-certificate
aws,acm,delete-certificate
aws,acm,describe-certificate
aws,acm,get-certificate
aws,acm,list-certificates
aws,acm,list-tags-for-certificate
aws,acm,remove-tags-from-certificate
aws,acm,request-certificate
aws,acm,resend-validation-email
aws,apigateway
aws,apigateway,create-api-key
aws,apigateway,create-authorizer
aws,apigateway,create-base-path-mapping
aws,apigateway,create-deployment
aws,apigateway,create-domain-name
aws,apigateway,create-model
aws,apigateway,create-resource
aws,apigateway,create-rest-api
aws,apigateway,create-stage
aws,apigateway,delete-api-key
aws,apigateway,delete-authorizer
aws,apigateway,delete-base-path-mapping
aws,apigateway,delete-client-certificate
aws,apigateway,delete-deployment
aws,apigateway,delete-domain-name
aws,apigateway,delete-integration
aws,apigateway,delete-integration-response
aws,apigateway,delete-method
aws,apigateway,delete-method-response
aws,apigateway,delete-model
aws,apigateway,delete-resource
aws,apigateway,delete-rest-api
aws,apigateway,delete-stage
aws,apigateway,flush-stage-authorizers-cache
aws,apigateway,flush-stage-cache
aws,apigateway,generate-client-certificate
aws,apigateway,get-account
aws,apigateway,get-api-key
aws,apigateway,get-api-keys
aws,apigateway,get-authorizer
aws,apigateway,get-authorizers
aws,apigateway,get-base-path-mapping
aws,apigateway,get-base-path-mappings
aws,apigateway,get-client-certificate
aws,apigateway,get-client-certificates
aws,apigateway,get-deployment
aws,apigateway,get-deployments
aws,apigateway,get-domain-name
aws,apigateway,get-domain-names
aws,apigateway,get-export
aws,apigateway,get-integration
aws,apigateway,get-integration-response
aws,apigateway,get-method
aws,apigateway,get-method-response
aws,apigateway,get-model
aws,apigateway,get-model-template
aws,apigateway,get-models
aws,apigateway,get-resource
aws,apigateway,get-resources
aws,apigateway,get-rest-api
aws,apigateway,get-rest-apis
aws,apigateway,get-sdk
aws,apigateway,get-stage
aws,apigateway,get-stages
aws,apigateway,import-rest-api
aws,apigateway,put-integration
aws,apigateway,put-integration-response
aws,apigateway,put-method
aws,apigateway,put-method-response
aws,apigateway,put-rest-api
aws,apigateway,test-invoke-authorizer
aws,apigateway,test-invoke-method
aws,apigateway,update-account
aws,apigateway,update-api-key
aws,apigateway,update-authorizer
aws,apigateway,update-base-path-mapping
aws,apigateway,update-client-certificate
aws,apigateway,update-deployment
aws,apigateway,update-domain-name
aws,apigateway,update-integration
aws,apigateway,update-integration-response
aws,apigateway,update-method
aws,apigateway,update-method-response
aws,apigateway,update-model
aws,apigateway,update-resource
aws,apigateway,update-rest-api
aws,apigateway,update-stage
aws,application-autoscaling
aws,application-autoscaling,delete-scaling-policy
aws,application-autoscaling,deregister-scalable-target
aws,application-autoscaling,describe-scalable-targets
aws,application-autoscaling,describe-scaling-activities
aws,application-autoscaling,describe-scaling-policies
aws,application-autoscaling,put-scaling-policy
aws,application-autoscaling,register-scalable-target
aws,autoscaling
aws,autoscaling,attach-instances
aws,autoscaling,attach-load-balancers
aws,autoscaling,complete-lifecycle-action
aws,autoscaling,create-auto-scaling-group
aws,autoscaling,create-launch-configuration
aws,autoscaling,create-or-update-tags
aws,autoscaling,delete-auto-scaling-group
aws,autoscaling,delete-launch-configuration
aws,autoscaling,delete-lifecycle-hook
aws,autoscaling,delete-notification-configuration
aws,autoscaling,delete-policy
aws,autoscaling,delete-scheduled-action
aws,autoscaling,delete-tags
aws,autoscaling,describe-account-limits
aws,autoscaling,describe-adjustment-types
aws,autoscaling,describe-auto-scaling-groups
aws,autoscaling,describe-auto-scaling-instances
aws,autoscaling,describe-auto-scaling-notification-types
aws,autoscaling,describe-launch-configurations
aws,autoscaling,describe-lifecycle-hook-types
aws,autoscaling,describe-lifecycle-hooks
aws,autoscaling,describe-load-balancers
aws,autoscaling,describe-metric-collection-types
aws,autoscaling,describe-notification-configurations
aws,autoscaling,describe-policies
aws,autoscaling,describe-scaling-activities
aws,autoscaling,describe-scaling-process-types
aws,autoscaling,describe-scheduled-actions
aws,autoscaling,describe-tags
aws,autoscaling,describe-termination-policy-types
aws,autoscaling,detach-instances
aws,autoscaling,detach-load-balancers
aws,autoscaling,disable-metrics-collection
aws,autoscaling,enable-metrics-collection
aws,autoscaling,enter-standby
aws,autoscaling,execute-policy
aws,autoscaling,exit-standby
aws,autoscaling,put-lifecycle-hook
aws,autoscaling,put-notification-configuration
aws,autoscaling,put-scaling-policy
aws,autoscaling,put-scheduled-update-group-action
aws,autoscaling,record-lifecycle-action-heartbeat
aws,autoscaling,resume-processes
aws,autoscaling,set-desired-capacity
aws,autoscaling,set-instance-health
aws,autoscaling,set-instance-protection
aws,autoscaling,suspend-processes
aws,autoscaling,terminate-instance-in-auto-scaling-group
aws,autoscaling,update-auto-scaling-group
aws,cloudformation
aws,cloudformation,cancel-update-stack
aws,cloudformation,continue-update-rollback
aws,cloudformation,create-change-set
aws,cloudformation,create-stack
aws,cloudformation,delete-change-set
aws,cloudformation,delete-stack
aws,cloudformation,describe-account-limits
aws,cloudformation,describe-change-set
aws,cloudformation,describe-stack-events
aws,cloudformation,describe-stack-resource
aws,cloudformation,describe-stack-resources
aws,cloudformation,describe-stacks
aws,cloudformation,estimate-template-cost
aws,cloudformation,execute-change-set
aws,cloudformation,get-stack-policy
aws,cloudformation,get-template
aws,cloudformation,get-template-summary
aws,cloudformation,list-change-sets
aws,cloudformation,list-stack-resources
aws,cloudformation,list-stacks
aws,cloudformation,set-stack-policy
aws,cloudformation,signal-resource
aws,cloudformation,update-stack
aws,cloudformation,validate-template
aws,cloudformation,wait
aws,cloudformation,wait,stack-create-complete
aws,cloudformation,wait,stack-delete-complete
aws,cloudformation,wait,stack-exists
aws,cloudformation,wait,stack-update-complete
aws,cloudfront
aws,cloudfront,create-cloud-front-origin-access-identity
aws,cloudfront,create-distribution
aws,cloudfront,create-invalidation
aws,cloudfront,create-streaming-distribution
aws,cloudfront,delete-cloud-front-origin-access-identity
aws,cloudfront,delete-distribution
aws,cloudfront,delete-streaming-distribution
aws,cloudfront,get-cloud-front-origin-access-identity
aws,cloudfront,get-cloud-front-origin-access-identity-config
