velero
velero,backup
velero,backup,create
velero,backup,delete
velero,backup,describe
velero,backup,download
velero,backup,get
velero,backup,logs
velero,backup-location
velero,backup-location,create
velero,backup-location,get
velero,bug
velero,client
velero,client,config
velero,client,config,get
velero,client,config,set
velero,completion
velero,create
velero,create,backup
velero,create,backup-location
velero,create,restore
velero,create,schedule
velero,create,snapshot-location
velero,delete
velero,delete,backup
velero,delete,restore
velero,delete,schedule
velero,describe
velero,describe,backups
velero,describe,restores
velero,describe,schedules
velero,get
velero,get,backup-locations
velero,get,backups
velero,get,plugins
velero,get,restores
velero,get,schedules
velero,get,snapshot-locations
velero,help
velero,install
velero,plugin
velero,plugin,add
velero,plugin,get
velero,plugin,remove
velero,restic
velero,restic,repo
velero,restic,repo,get
velero,restore
velero,restore,create
velero,restore,delete
velero,restore,describe
velero,restore,get
velero,restore,logs
velero,schedule
velero,schedule,create
velero,schedule,delete
velero,schedule,describe
velero,schedule,get
velero,snapshot-location
velero,snapshot-location,create
velero,snapshot-location,get
velero,version
